

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
03/17/2026,"DIVIDEND RECEIVED AMCOR PLC ORD USD0.05 (REV SPT) (AMCR) (Cash)",AMCR,"AMCOR PLC ORD USD0.05 (REV SPT)",Cash,,0.000,,,,165.6,717.47,
03/13/2026,"DIVIDEND RECEIVED TERADYNE INC COM USD0.125 (TER) (Cash)",TER,"TERADYNE INC COM USD0.125",Cash,,0.000,,,,8.73,551.87,
03/13/2026,"DIVIDEND RECEIVED KEYCORP COM (KEY) (Cash)",KEY,"KEYCORP COM",Cash,,0.000,,,,413.97,543.14,
03/13/2026,"DIVIDEND RECEIVED HUNTINGTON INGALLS INDUSTRIES INC (HII) (Cash)",HII,"HUNTINGTON INGALLS INDUSTRIES INC",Cash,,0.000,,,,50.65,129.17,
03/13/2026,"FEE CHARGED TE CONNECTIVITY PLC COM USD0.01 (TEL) (Cash)",TEL,"TE CONNECTIVITY PLC COM USD0.01",Cash,,0.000,,,,-0.16,78.52,
03/13/2026,"DIVIDEND RECEIVED TE CONNECTIVITY PLC COM USD0.01 (TEL) (Cash)",TEL,"TE CONNECTIVITY PLC COM USD0.01",Cash,,0.000,,,,35.3,78.68,
03/10/2026,"DIVIDEND RECEIVED ELI LILLY &CO COM (LLY) (Cash)",LLY,"ELI LILLY &CO COM",Cash,,0.000,,,,36.9,43.38,
03/09/2026,"YOU BOUGHT WESTERN DIGITAL CORP. COM (WDC) (Cash)",WDC,"WESTERN DIGITAL CORP. COM",Cash,256.7,92,,,,-23616.4,6.48,03/10/2026
03/09/2026,"YOU BOUGHT WESTERN DIGITAL CORP. COM (WDC) (Cash)",WDC,"WESTERN DIGITAL CORP. COM",Cash,256.7,0.733,,,,-188.16,23622.88,03/10/2026
03/09/2026,"YOU BOUGHT WARNER BROS DISCOVERY INC COM SER A (WBD) (Cash)",WBD,"WARNER BROS DISCOVERY INC COM SER A",Cash,27.81,796,,,,-22136.76,23811.04,03/10/2026
03/09/2026,"YOU BOUGHT WARNER BROS DISCOVERY INC COM SER A (WBD) (Cash)",WBD,"WARNER BROS DISCOVERY INC COM SER A",Cash,27.81,1,,,,-27.81,45947.80,03/10/2026
03/09/2026,"YOU BOUGHT WARNER BROS DISCOVERY INC COM SER A (WBD) (Cash)",WBD,"WARNER BROS DISCOVERY INC COM SER A",Cash,27.82,0.123,,,,-3.42,45975.61,03/10/2026
03/09/2026,"YOU BOUGHT VIATRIS INC COM (VTRS) (Cash)",VTRS,"VIATRIS INC COM",Cash,13.96,1214,,,,-16947.32,45979.03,03/10/2026
03/09/2026,"YOU BOUGHT VIATRIS INC COM (VTRS) (Cash)",VTRS,"VIATRIS INC COM",Cash,13.96,0.557,,,,-7.77,62926.35,03/10/2026
03/09/2026,"YOU BOUGHT VALERO ENERGY CORP COM (VLO) (Cash)",VLO,"VALERO ENERGY CORP COM",Cash,219.25,64,,,,-14031.99,62934.12,03/10/2026
03/09/2026,"YOU BOUGHT VALERO ENERGY CORP COM (VLO) (Cash)",VLO,"VALERO ENERGY CORP COM",Cash,219.07,0.658,,,,-144.15,76966.11,03/10/2026
03/09/2026,"YOU BOUGHT US BANCORP (USB) (Cash)",USB,"US BANCORP",Cash,50.84,278,,,,-14132.13,77110.26,03/10/2026
03/09/2026,"YOU BOUGHT US BANCORP (USB) (Cash)",USB,"US BANCORP",Cash,50.84,0.683,,,,-34.72,91242.39,03/10/2026
03/09/2026,"YOU BOUGHT TRUIST FINL CORP COM (TFC) (Cash)",TFC,"TRUIST FINL CORP COM",Cash,45.67,305,,,,-13927.83,91277.11,03/10/2026
03/09/2026,"YOU BOUGHT TRUIST FINL CORP COM (TFC) (Cash)",TFC,"TRUIST FINL CORP COM",Cash,45.67,0.032,,,,-1.46,105204.94,03/10/2026
03/09/2026,"YOU BOUGHT TERADYNE INC COM USD0.125 (TER) (Cash)",TER,"TERADYNE INC COM USD0.125",Cash,286.89,90,,,,-25820.15,105206.40,03/10/2026
03/09/2026,"YOU BOUGHT TERADYNE INC COM USD0.125 (TER) (Cash)",TER,"TERADYNE INC COM USD0.125",Cash,286.73,0.826,,,,-236.84,131026.55,03/10/2026
03/09/2026,"YOU BOUGHT TAPESTRY INC COM (TPR) (Cash)",TPR,"TAPESTRY INC COM",Cash,140.59,106,,,,-14902.53,131263.39,03/10/2026
03/09/2026,"YOU BOUGHT TAPESTRY INC COM (TPR) (Cash)",TPR,"TAPESTRY INC COM",Cash,140.47,0.081,,,,-11.38,146165.92,03/10/2026
03/09/2026,"YOU BOUGHT SYNCHRONY FINANCIAL COM (SYF) (Cash)",SYF,"SYNCHRONY FINANCIAL COM",Cash,65.64,200,,,,-13127,146177.30,03/10/2026
03/09/2026,"YOU BOUGHT SYNCHRONY FINANCIAL COM (SYF) (Cash)",SYF,"SYNCHRONY FINANCIAL COM",Cash,65.65,60,,,,-3939,159304.30,03/10/2026
03/09/2026,"YOU BOUGHT SYNCHRONY FINANCIAL COM (SYF) (Cash)",SYF,"SYNCHRONY FINANCIAL COM",Cash,65.64,0.885,,,,-58.09,163243.30,03/10/2026
03/09/2026,"YOU BOUGHT STATE STREET CORP (STT) (Cash)",STT,"STATE STREET CORP",Cash,118.18,119,,,,-14063.42,163301.39,03/10/2026
03/09/2026,"YOU BOUGHT STATE STREET CORP (STT) (Cash)",STT,"STATE STREET CORP",Cash,118.22,0.152,,,,-17.97,177364.81,03/10/2026
03/09/2026,"YOU BOUGHT REGIONS FINANCIAL CORP NEW COM (RF) (Cash)",RF,"REGIONS FINANCIAL CORP NEW COM",Cash,26.25,566,,,,-14857.44,177382.78,03/10/2026
03/09/2026,"YOU BOUGHT REGIONS FINANCIAL CORP NEW COM (RF) (Cash)",RF,"REGIONS FINANCIAL CORP NEW COM",Cash,26.25,0.844,,,,-22.15,192240.22,03/10/2026
03/09/2026,"YOU BOUGHT PRUDENTIAL FINANCIAL INC (PRU) (Cash)",PRU,"PRUDENTIAL FINANCIAL INC",Cash,94.45,174,,,,-16434.3,192262.37,03/10/2026
03/09/2026,"YOU BOUGHT PRUDENTIAL FINANCIAL INC (PRU) (Cash)",PRU,"PRUDENTIAL FINANCIAL INC",Cash,94.39,0.973,,,,-91.84,208696.67,03/10/2026
03/09/2026,"YOU BOUGHT PHILLIPS 66 (PSX) (Cash)",PSX,"PHILLIPS 66",Cash,163.37,97,,,,-15846.89,208788.51,03/10/2026
